source_species,target_species,model,mean_macro_f1,n_dataset_pairs,core_gower_distance,extended_gower_distance,same_species,excluded_from_primary_h3
Procyon lotor,Procyon lotor,HYDRA,0.5728194386904527,2,0,0,TRUE,yes
Procyon lotor,Vulpes vulpes,HYDRA,0.6193336276861416,4,0.523999409245311,0.5455753816409554,FALSE,no
Vulpes vulpes,Bison bonasus,HYDRA,0.45507250726564247,2,0.6190476190476192,0.4848484848484849,FALSE,no
Vulpes vulpes,Bos taurus,HYDRA,0.4889855766327147,2,0.6314534675190414,0.4927431156939354,FALSE,no
Vulpes vulpes,Canis lupus familiaris,HYDRA,0.5211708496755314,4,0.03443255902272295,0.11282071937809643,FALSE,no
Vulpes vulpes,Equus caballus,HYDRA,0.43593487973823064,2,0.3425216785872523,0.30887743182825145,FALSE,no
Vulpes vulpes,Equus ferus przewalskii,HYDRA,0.46205376189783964,2,0.34963183323839064,0.31340207569715767,FALSE,no
Vulpes vulpes,Erinaceus europaeus,HYDRA,0.428676738318583,2,0.6780703420047682,0.7951356721848526,FALSE,no
Vulpes vulpes,Giraffa camelopardalis,HYDRA,0.40575744979245537,2,0.679072515138089,0.6139552369060566,FALSE,no
Vulpes vulpes,Procyon lotor,HYDRA,0.5915418969521473,4,0.523999409245311,0.5455753816409554,FALSE,no
Vulpes vulpes,Vulpes vulpes,HYDRA,0.7985508820999179,2,0,0,TRUE,yes
Bison bonasus,Bos taurus,MultiRocket,0.5357689818694595,1,0.012405848471422263,0.00789463084545053,FALSE,no
Bison bonasus,Canis lupus familiaris,MultiRocket,0.5393533924277486,2,0.5846150600248959,0.4629368563794793,FALSE,no
Bison bonasus,Equus caballus,MultiRocket,0.6074168244477768,1,0.27652594046036666,0.17597105302023333,FALSE,no
